paper_id,doi,resolution_status,metadata_agreement,resolved_title,resolved_year,resolved_container
abbasi2015vehicle,,NO_DOI,,,,PEER_REVIEWED
alexander2026nursing,10.1145/3795095.3805113,RESOLVED,MATCH,Operational Decision Support for Evacuating Nursing Home Residents: A Hamburg Benchmark and Metaheuristic Comparison Under a 5-Minute Time Budget,2026,Proceedings of the Genetic and Evolutionary Computation Conference
allaire2020ensemble,10.1071/wf19073,RESOLVED,MATCH,Generation and evaluation of an ensemble of wildland fire simulations,2020,International Journal of Wildland Fire
allaire2021emulation,10.1016/j.neunet.2021.04.006,RESOLVED,MATCH,Emulation of wildland fire spread simulation using deep learning,2021,Neural Networks
an2008slope,,NO_DOI,,,,PEER_REVIEWED
an2026donghae,10.52902/kjsc.2026.56.135,RESOLVED,MATCH,"Analysis of Evacuation Behavior among Disaster-Vulnerable Groups during Wildfire Events Using Mobile Floating Population Data : A Case Study of the 2022 Mangsang and Mukho-dong, Donghae",2026,Forum of Public Safety and Culture
andrews2018rothermel,10.2737/RMRS-GTR-371,RESOLVED,MATCH,The Rothermel surface fire spread model and associated developments: A comprehensive explanation,2018,
ardid2026forecastvalue,10.1071/WF25221,RESOLVED,MATCH,From forecast skill to economic value: sub-hourly wildfire potential forecasting across Australian regions,2026,International Journal of Wildland Fire
arnold1986osse,10.1175/1520-0477(1986)067<0687:OSSEPP>2.0.CO;2,RESOLVED,MATCH,"Observing-Systems Simulation Experiments: Past, Present, and Future",1986,Bulletin of the American Meteorological Society
atlas1997observations,10.2151/jmsj1965.75.1b_111,RESOLVED,MATCH,Atmospheric Observations and Experiments to Assess Their Usefulness in Data Assimilation (gtSpecial IssueltData Assimilation in Meteology and Oceanography: Theory and Practice),1997,Journal of the Meteorological Society of Japan. Ser. II
averill2007emergencyresponse,10.6028/nist.ir.7425,RESOLVED,MATCH,Accounting for emergency response in building evacuation:,2007,
axtell1996aligning,10.1007/bf01299065,RESOLVED,MATCH,Aligning simulation models: A case study and results,1996,Computational and Mathematical Organization Theory
bailonruiz2022uavfleet,10.1016/j.robot.2022.104071,RESOLVED,MATCH,Real-time wildfire monitoring with a fleet of UAVs,2022,Robotics and Autonomous Systems
bennett2026wise,10.1071/WF26072,RESOLVED,MATCH,Assessment of fire spread predictions from the Wildfire Intelligence and Simulation Engine (W.I.S.E.) using a large set of satellite-derived wildfire perimeters,2026,International Journal of Wildland Fire
berlinghieri2024pm25,10.48550/arXiv.2409.05866,RESOLVED_DATACITE,MATCH,Are Hourly PM2.5 Forecasts Sufficiently Accurate to Plan Your Day? Individual Decision Making in the Face of Increasing Wildfire Smoke,2024,arXiv
beyki2026modular,10.1016/j.ssci.2026.107200,RESOLVED,MATCH,"A modular agent-based framework for wildfire evacuation: Integrating fire spread, multimodal transport, and dynamic routing",2026,Safety Science
bischiniotis2019tradeoffs,10.1016/j.ijdrr.2019.101252,RESOLVED,MATCH,"Assessing time, cost and quality trade-offs in forecast-based action for floods",2019,International Journal of Disaster Risk Reduction
bish2011planning,10.1007/s00291-011-0256-1,RESOLVED,MATCH,Planning for a bus-based evacuation,2011,OR Spectrum
